 IN_MODEL                  Unknown Client            Do not have               From File                 TIME_SERIES.DAT                                              YES
 EXPORT_TYPE               ExportToTimeSerie         1                         From File                 1                                                            YES
 START_TIME                ExportToTimeSerie         Do not have               From File                 2019.00000000000 1.00000000000000 1.00000000000000 0.0000000 YES
 END_TIME                  ExportToTimeSerie         Do not have               From File                 2019.00000000000 2.00000000000000 1.00000000000000 0.0000000 YES
 VARIABLE_GRID             ExportToTimeSerie         FALSE                     From File                 FALSE                                                        YES
 GRID_FILENAME             ConvertToHDF5             Do not have               From File                 ************                                                 YES
 TIME_GROUP                ExportToTimeSerie         Time                      From File                 Time                                                         YES
 DECIMATION_FACTOR         ExportToTimeSerie         0                         From File                 0                                                            YES
 BEST_TIME_SERIE_OUT       ExportToTimeSerie         FALSE                     From File                 FALSE                                                        YES
 PROPERTY                  ExportToTimeSerie         Do not have               From Block                water level                                                  YES
 HDF_GROUP                 ExportToTimeSerie         /Results/water level      From Block                /Results/water level                                         YES
 PROPERTY                  ExportToTimeSerie         Do not have               From Block                velocity modulus                                             YES
 HDF_GROUP                 ExportToTimeSerie         /Results/velocity modulus From Block                /Results/velocity modulus                                    YES
 PROPERTY                  ExportToTimeSerie         Do not have               From Block                velocity U                                                   YES
 HDF_GROUP                 ExportToTimeSerie         /Results/velocity U       From Block                /Results/velocity U                                          YES
 PROPERTY                  ExportToTimeSerie         Do not have               From Block                velocity V                                                   YES
 HDF_GROUP                 ExportToTimeSerie         /Results/velocity V       From Block                /Results/velocity V                                          YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190101_20190102\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190102_20190103\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190103_20190104\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190104_20190105\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190105_20190106\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190106_20190107\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190107_20190108\Hydrodynamic_2.hdf5           YES
 NAME                      ExportToTimeSerie         Do not have               From Block                ..\..\Level1\20190108_20190109\Hydrodynamic_2.hdf5           YES
